"Species_name_orig" "Region_name_orig" "Group" "Code" "Taxon_group"
"103" "Lithobates catesbeianus" "Italy" "Amphibia" "ITA-IT" "Amphibians; Reptiles"
"104" "Pelophylax kurtmuelleri" "Italy" "Amphibia" "ITA-IT" "Amphibians; Reptiles"
"105" "Eleutherodactylus johnstonei" "Jamaica" "Amphibia" "JAM-OO" "Amphibians; Reptiles"
"106" "Eleutherodactylus planirostris" "Jamaica" "Amphibia" "JAM-OO" "Amphibians; Reptiles"
"107" "Lithobates catesbeianus" "Jamaica" "Amphibia" "JAM-OO" "Amphibians; Reptiles"
"108" "Rhinella marina" "Jamaica" "Amphibia" "JAM-OO" "Amphibians; Reptiles"
"109" "Xenopus laevis" "Japan" "Amphibia" "Japan" "Amphibians; Reptiles"
"110" "Lithobates catesbeianus" "Japan" "Amphibia" "Japan" "Amphibians; Reptiles"
"111" "Polypedates leucomystax" "Japan" "Amphibia" "Japan" "Amphibians; Reptiles"
"112" "Rhinella marina" "Japan" "Amphibia" "Japan" "Amphibians; Reptiles"
"113" "Andrias davidianus" "Japan" "Amphibia" "Japan" "Amphibians; Reptiles"
"114" "Lithobates catesbeianus" "South Korea" "Amphibia" "KOR-SK" "Amphibians; Reptiles"
"115" "Rhinella marina" "Antigua and Barbuda" "Amphibia" "LEE-AB" "Amphibians; Reptiles"
"116" "Eleutherodactylus martinicensis" "Antigua and Barbuda" "Amphibia" "LEE-AB" "Amphibians; Reptiles"
"117" "Osteopilus septentrionalis" "Antigua and Barbuda" "Amphibia" "LEE-AB" "Amphibians; Reptiles"
"118" "Osteopilus septentrionalis" "Anguilla" "Amphibia" "LEE-AG" "Amphibians; Reptiles"
"119" "Rhinella marina" "British Virgin Islands" "Amphibia" "LEE-BV" "Amphibians; Reptiles"
"120" "Osteopilus septentrionalis" "British Virgin Islands" "Amphibia" "LEE-BV" "Amphibians; Reptiles"
"121" "Eleutherodactylus johnstonei" "Guadeloupe" "Amphibia" "LEE-GU" "Amphibians; Reptiles"
"122" "Rhinella marina" "Guadeloupe" "Amphibia" "LEE-GU" "Amphibians; Reptiles"
"123" "Scinax x-signatus" "Guadeloupe" "Amphibia" "LEE-GU" "Amphibians; Reptiles"
"124" "Rhinella marina" "Montserrat" "Amphibia" "LEE-MO" "Amphibians; Reptiles"
"125" "Osteopilus septentrionalis" "Saint Kitts and Nevis" "Amphibia" "LEE-SK" "Amphibians; Reptiles"
"126" "Rhinella marina" "Saint Kitts and Nevis" "Amphibia" "LEE-SK" "Amphibians; Reptiles"
"127" "Osteopilus septentrionalis" "St.Martin-St.Barthélémy" "Amphibia" "LEE-SM" "Amphibians; Reptiles"
"128" "Rhinella marina" "US Virgin Islands" "Amphibia" "LEE-VI" "Amphibians; Reptiles"
"129" "Eleutherodactylus cystignathoides" "Louisiana" "Amphibia" "LOU-OO" "Amphibians; Reptiles"
"130" "Eleutherodactylus planirostris" "Louisiana" "Amphibia" "LOU-OO" "Amphibians; Reptiles"
"131" "Eleutherodactylus coqui" "Louisiana" "Amphibia" "LOU-OO" "Amphibians; Reptiles"
"132" "Fejervarya verruculosa" "East Timor" "Amphibia" "LSI-ET" "Amphibians; Reptiles"
"133" "Duttaphrynus melanostictus" "East Timor" "Amphibia" "LSI-ET" "Amphibians; Reptiles"
"134" "Necturus maculosus" "Maine" "Amphibia" "MAI-OO" "Amphibians; Reptiles"
"135" "Necturus maculosus" "Massachusetts" "Amphibia" "MAS-OO" "Amphibians; Reptiles"
"136" "Sclerophrys gutturalis" "Mauritius" "Amphibia" "MAU-OO" "Amphibians; Reptiles"
"137" "Ptychadena mascareniensis" "Mauritius" "Amphibia" "MAU-OO" "Amphibians; Reptiles"
"138" "Hoplobatrachus tigerinus" "Madagascar" "Amphibia" "MDG-OO" "Amphibians; Reptiles"
"139" "Duttaphrynus melanostictus" "Madagascar" "Amphibia" "MDG-OO" "Amphibians; Reptiles"
"140" "Pelophylax perezi" "Portugal (Madeira)" "Amphibia" "MDR-OO" "Amphibians; Reptiles"
"141" "Hyla meridionalis" "Portugal (Madeira)" "Amphibia" "MDR-OO" "Amphibians; Reptiles"
"142" "Duttaphrynus melanostictus" "Maldive Islands" "Amphibia" "MDV-OO" "Amphibians; Reptiles"
"143" "Desmognathus fuscus" "Michigan" "Amphibia" "MIC-OO" "Amphibians; Reptiles"
"144" "Hoplobatrachus rugulosus" "Malaysia" "Amphibia" "MLY-PM" "Amphibians; Reptiles"
"145" "Kaloula pulchra" "Singapore" "Amphibia" "MLY-SI" "Amphibians; Reptiles"
"146" "Lithobates catesbeianus" "Singapore" "Amphibia" "MLY-SI" "Amphibians; Reptiles"
